,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 60s,24,I Heard It Through The Grapevine,Marvin Gaye,71,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,194293,0
All Out 60s,25,Gimme Some Lovin' - Single Mix,The Spencer Davis Group,0,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403,173973,0
All Out 60s,26,I Only Want To Be With You,Dusty Springfield,0,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946,154947,0
All Out 60s,27,You've Lost That Lovin' Feelin',The Righteous Brothers,56,0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108,225427,1
All Out 60s,28,Dancing In The Street - Single Version,Martha Reeves & The Vandellas,0,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203,160307,0
All Out 60s,29,Homeward Bound,Simon & Garfunkel,63,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928,149613,0
All Out 60s,30,Eight Days A Week - Remastered 2009,The Beatles,63,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,163600,0
All Out 60s,31,Wouldn't It Be Nice - Mono / Remastered,The Beach Boys,54,0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318,145800,0
All Out 60s,32,Where Did Our Love Go - Stereo Version,The Supremes,0,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676,151440,0
All Out 60s,33,California Dreamin' - Single Version,The Mamas & The Papas,0,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479,158720,0
All Out 60s,34,Leaving on a Jet Plane,"Peter, Paul and Mary",60,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,207240,0
All Out 60s,35,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,0,0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103,164813,0
All Out 60s,36,Everyday People,Sly & The Family Stone,64,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,141507,0
All Out 60s,37,"Oh, Pretty Woman",Roy Orbison,72,0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,178933,0
All Out 60s,38,In the Midnight Hour,Wilson Pickett,62,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919,157160,0
All Out 60s,39,Up on the Roof,The Drifters,56,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795,157173,0
All Out 60s,40,The Weight - Remastered,The Band,0,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,278627,1
All Out 60s,41,Sugar Sugar,The Archies,64,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,167213,0
All Out 60s,42,Twistin' the Night Away,Sam Cooke,48,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891,159893,0
All Out 60s,43,It's Not Unusual,Tom Jones,0,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499,119800,0
All Out 60s,44,Mustang Sally,Wilson Pickett,60,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760,0
All Out 60s,45,Save the Last Dance for Me,The Drifters,58,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,154960,0
All Out 60s,46,Different Drum,Stone Poneys,56,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213,159973,0
All Out 60s,47,Bad Moon Rising,Creedence Clearwater Revival,77,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,0
All Out 60s,48,Gloria (feat. Van Morrison) - Stereo Version,Them,62,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118,156800,0
All Out 60s,49,River Deep - Mountain High,Ike & Tina Turner,58,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,214880,0
All Out 60s,50,Don't Worry Baby - Remastered 2001,The Beach Boys,63,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,169933,0
All Out 60s,51,Another Saturday Night,Sam Cooke,57,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094,160000,0
All Out 60s,52,Downtown,Petula Clark,0,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515,183120,0
All Out 60s,53,Baby Love,The Supremes,66,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,158040,0
All Out 60s,54,Knock on Wood,Eddie Floyd,59,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,189840,0
All Out 60s,55,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,45,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235,290400,1
All Out 60s,56,The Loco-Motion - Single Version,Little Eva,46,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664,148627,0
All Out 60s,57,"Monday, Monday - Single Version",The Mamas & The Papas,38,0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553,205267,0
All Out 60s,58,Honky Tonk Women - Mono Version,The Rolling Stones,63,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,179387,0
All Out 60s,59,My Girl,The Temptations,1,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564,165000,0
All Out 60s,60,Cupid,Sam Cooke,54,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326,158613,0
All Out 60s,61,Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,49,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499,164093,0
All Out 60s,62,This Old Heart Of Mine (Is Weak For You),The Isley Brothers,0,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,172733,0
All Out 60s,63,Respect,Aretha Franklin,72,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,147600,0
All Out 60s,64,Everlasting Love,Love Affair,47,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521,181747,0
All Out 60s,65,To Sir with Love,Lulu,47,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142,166693,0
All Out 60s,66,Green Green Grass Of Home,Tom Jones,61,0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363,184893,0
All Out 60s,67,One Fine Day,The Chiffons,59,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,128200,0
All Out 60s,68,A Place In The Sun,Stevie Wonder,51,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784,172960,0
All Out 60s,69,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,66,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,229360,1
